產品類型,產品名稱,產品型號,碳標籤證書,,,,公司/團體名稱,統一編號/農畜牧登字,生產廠場/服務廠場,,,,,,碳足跡數據,宣告單位,產品生命週期各階段碳足跡比例,,,,,採用產品類別規則(PCR),
,,,證書編號,生效日期,有效期限,狀態,,,名稱(1),地址(1),名稱(2),地址(2),名稱(3),地址(3),,,原料取得,製造/服務,配送銷售,使用,廢棄回收,編號,名稱
商品,OPP膠帶,703B904(厚寬長0.037mm*48mm*80M),2403919001,2024/04/03,2029/04/02,有效,地球綜合工業股份有限公司,07147916,地球綜合工業股份有限公司幼獅一廠,桃園市楊梅區幼獅工業區獅二路1號/獅三路4號,,,,,2.00kg,每卷(寬長48mm*80M),93.66%,2.58%,0.20%,0.00%,3.56%,21-027,黏性膠帶第5.0版
商品,土司,醇乳香土司,2301905001,2023/05/27,2028/05/26,有效,福比股份有限公司,42774580,福比股份有限公司,新竹縣新豐鄉中崙村 9 鄰中崙 289-5號,,,,,600.00g,每包382g 醇乳香土司,43.32%,53.72%,2.67%,0.00%,0.29%,20-004,麵包
商品,土司,原味覺土司,2301905002,2023/05/27,2028/05/26,有效,福比股份有限公司,42774580,福比股份有限公司,新竹縣新豐鄉中崙村 9 鄰中崙 289-5號,,,,,550.00g,每包370g 原味覺土司,39.49%,57.25%,2.93%,0.00%,0.33%,20-004,麵包
商品,土司,新纖麥土司,2301905003,2023/05/27,2028/05/26,有效,福比股份有限公司,42774580,福比股份有限公司,新竹縣新豐鄉中崙村 9 鄰中崙 289-5號,,,,,600.00g,每包370g 新纖麥土司,46.55%,50.47%,2.68%,0.00%,0.30%,20-004,麵包
商品,土司,陽光葡萄土司,2301905004,2023/05/27,2028/05/26,有效,福比股份有限公司,42774580,福比股份有限公司,新竹縣新豐鄉中崙村 9 鄰中崙 289-5號,,,,,190.00g,每包130g 陽光葡萄土司,35.83%,60.74%,3.01%,0.00%,0.42%,20-004,麵包
商品,土司,綿柔鮮奶土司,2301905005,2023/05/27,2028/05/26,有效,福比股份有限公司,42774580,福比股份有限公司,新竹縣新豐鄉中崙村 9 鄰中崙 289-5號,,,,,170.00g,每包111g 綿柔鮮奶土司,43.34%,53.46%,2.76%,0.00%,0.44%,20-004,麵包
商品,土司,小麥胚芽土司,2301905006,2023/05/27,2028/05/26,有效,福比股份有限公司,42774580,福比股份有限公司,新竹縣新豐鄉中崙村 9 鄰中崙 289-5號,,,,,180.00g,每包105g 小麥胚芽土司,47.68%,49.32%,2.57%,0.00%,0.43%,20-004,麵包
商品,洗選蛋,川果白殼蛋,2500407002,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司官田廠,臺南市官田區南廍里南廍79之20號,,,,,1.00kg,每盒(10顆)/PET,47.24%,35.61%,12.33%,4.44%,0.38%,20-061,鮮蛋
商品,洗選蛋,自然飼好白殼蛋,2500407004,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司官田廠,臺南市官田區南廍里南廍79之20號,,,,,1.00kg,每盒(10顆)/PET,46.25%,34.87%,14.18%,4.34%,0.36%,20-061,鮮蛋
商品,洗選蛋,自然飼好紅殼蛋,2500407005,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司官田廠,臺南市官田區南廍里南廍79之20號,,,,,1.00kg,每盒(10顆)/PET,51.59%,28.52%,14.88%,4.62%,0.39%,20-061,鮮蛋
商品,洗選蛋,暖玉紅殼紅心蛋,2500407006,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司官田廠,臺南市官田區南廍里南廍79之20號,,,,,1.00kg,每盒(10顆)/PET,52.58%,29.76%,12.58%,4.83%,0.25%,20-061,鮮蛋
商品,洗選蛋,暖玉紅心蛋,2500407007,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司官田廠,臺南市官田區南廍里南廍79之20號,,,,,1.00kg,每盒(10顆)/PET,47.10%,36.39%,11.74%,4.54%,0.23%,20-061,鮮蛋
商品,洗選蛋,暖玉業務蛋,2500407008,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司,臺南市官田區南廍里南廍79之20號,,,,,4.00kg,每盤(30顆)/紙,47.20%,35.50%,12.27%,4.42%,0.61%,20-061,鮮蛋
商品,洗選蛋,川果紅殼蛋,2500407003,2025/07/21,2027/07/20,有效,瑞福食品股份有限公司,52500300,瑞福食品股份有限公司官田廠,臺南市官田區南廍里南廍79之20號,,,,,1.00kg,每盒(10顆)/PET,52.95%,29.27%,12.63%,4.75%,0.40%,20-061,鮮蛋
